product_name,rating,total_ratings,total_reviews,image_URL,page_URL,description,tag_list
"Solid Men s White, Black T-Shirt",4.0,7803,1042,https://rukminim1.flixcart.com/image/309/371/k3ncakw0/t-shirt/m/2/z/l-men-fw18-hood-fs-white-black-watched-maniac-original-imafmq32datun2qj.jpeg?q=50,www.flipkart.com/maniac-solid-men-s-white-black-t-shirt/p/itme9ec9911f0cae?pid=TSHFMQF26ZNYWKTJ&amp;lid=LSTTSHFMQF26ZNYWKTJ2UQGLF&amp;marketplace=FLIPKART&amp;srno=s_1_1&amp;otracker=search&amp;fm=organic&amp;iid=en_c6E91TE7PROo%2Fc0Gdfjxfg2JxZ3l%2FUtIFAU2FNcbt7Z23As4dBif8uTUmpbhBJOT5QIKgpcZ3jf3EEo2OazPLw%3D%3D&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,"Solid Men s White, Black T-Shirt",
"Checkered Men Round Neck Dark Green, Black T-Shirt",3.8,95051,13758,https://rukminim1.flixcart.com/image/309/371/jwpa8i80/t-shirt/z/t/r/m-mens-ss18-rn-fs-checked-tshirt-olive-maniac-original-imafhb9rudbetw4g.jpeg?q=50,www.flipkart.com/maniac-checkered-men-round-neck-dark-green-black-t-shirt/p/itmfhb9r2dfugxaq?pid=TSHFH9W8ZZMAPYXV&amp;lid=LSTTSHFH9W8ZZMAPYXVIQKMNE&amp;marketplace=FLIPKART&amp;srno=s_1_2&amp;otracker=search&amp;fm=organic&amp;iid=en_c6E91TE7PROo%2Fc0Gdfjxfg2JxZ3l%2FUtIFAU2FNcbt7bpRoY8wr1uKZR%2FErdQDtApS27gcCAVdctdLpCJ1%2B1o4Q%3D%3D&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,"Checkered Men Round Neck Dark Green, Black T-Shirt",
"Solid Men Polo Neck White, Black T-Shirt",3.8,55882,8064,https://rukminim1.flixcart.com/image/309/371/jm3ro280/t-shirt/9/h/f/m-style-tshirt-try-this-original-imaf8zxukgz3cjhq.jpeg?q=50,www.flipkart.com/try-solid-men-polo-neck-white-black-t-shirt/p/itm2c2c28da76aa7?pid=TSHF8UEUQPUSH9HF&amp;lid=LSTTSHF8UEUQPUSH9HFSXT9IB&amp;marketplace=FLIPKART&amp;spotlightTagId=BestsellerId_clo%2Fash%2Fank&amp;srno=s_1_3&amp;otracker=search&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHF8UEUQPUSH9HF.SEARCH&amp;ppt=sp&amp;ppn=sp&amp;ssid=idkp3j40zk0000001596694334060&amp;qH=7cc481e3eab24b4e,"Solid Men Polo Neck White, Black T-Shirt",
"Striped Men Hooded Neck Red, Black T-Shirt",4.0,96575,12859,https://rukminim1.flixcart.com/image/309/371/jtn9bww0/t-shirt/5/g/g/m-hm-1001-black-red-helmont-original-imafdfvvr8hqdu65.jpeg?q=50,www.flipkart.com/helmont-striped-men-hooded-neck-red-black-t-shirt/p/itmfdfvufw3fmuhz?pid=TSHFDFTFFR2QUDWV&amp;lid=LSTTSHFDFTFFR2QUDWVQIYWB1&amp;marketplace=FLIPKART&amp;srno=s_1_4&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHFDFTFFR2QUDWV.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,"Striped Men Hooded Neck Red, Black T-Shirt",
Abstract Men Hooded Neck Dark Blue T-Shirt,4.0,75903,9848,https://rukminim1.flixcart.com/image/309/371/jp780i80/t-shirt/u/8/t/s-tnvhdfulabstract1-tripr-original-imafbdarnwhfh7uu.jpeg?q=50,www.flipkart.com/tripr-abstract-men-hooded-neck-dark-blue-t-shirt/p/itmfbh24farrt3qj?pid=TSHFBDGVRGG489F2&amp;lid=LSTTSHFBDGVRGG489F2HQONGY&amp;marketplace=FLIPKART&amp;srno=s_1_5&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHFBDGVRGG489F2.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,Abstract Men Hooded Neck Dark Blue T-Shirt,
"Solid Men Round Neck Blue, Grey T-Shirt",3.9,38114,4923,https://rukminim1.flixcart.com/image/309/371/k40798w0/t-shirt/r/x/a/xxl-4054-xxl-fastcolors-original-imafny3vwstwzyvh.jpeg?q=50,www.flipkart.com/fastcolors-solid-men-round-neck-blue-grey-t-shirt/p/itmbfb01b2a70a4b?pid=TSHFANHZ9FF8TFGF&amp;lid=LSTTSHFANHZ9FF8TFGF9ESHXF&amp;marketplace=FLIPKART&amp;srno=s_1_6&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHFANHZ9FF8TFGF.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,"Solid Men Round Neck Blue, Grey T-Shirt",
Solid Men Hooded Neck Yellow T-Shirt,4.0,96575,12859,https://rukminim1.flixcart.com/image/309/371/k3khevk0/t-shirt/m/6/7/l-aff-1001-mustard-black-adiba-fashion-factory-original-imafmn8a7me5gej4.jpeg?q=50,www.flipkart.com/helmont-solid-men-hooded-neck-yellow-t-shirt/p/itm2a5409402f5fb?pid=TSHFMMYYPFNMAH53&amp;lid=LSTTSHFMMYYPFNMAH53AYYDCM&amp;marketplace=FLIPKART&amp;srno=s_1_7&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHFMMYYPFNMAH53.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,Solid Men Hooded Neck Yellow T-Shirt,
"Color Block Men Round Neck Black, Orange, Grey T-Shirt",3.9,3188,490,https://rukminim1.flixcart.com/image/309/371/k7531jk0/t-shirt/z/c/a/s-rh-roundnck-x-hlfslv-blk-org-skin-rockhard-original-imafpfvkgtxeuz77.jpeg?q=50,www.flipkart.com/rockhard-color-block-men-round-neck-black-orange-grey-t-shirt/p/itm46a9be57c51cb?pid=TSHFPFTTKHFZTZCA&amp;lid=LSTTSHFPFTTKHFZTZCAWQZHRX&amp;marketplace=FLIPKART&amp;srno=s_1_8&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHFPFTTKHFZTZCA.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,"Color Block Men Round Neck Black, Orange, Grey T-Shirt",
Printed Women Round Neck Black T-Shirt,4.1,63,9,https://rukminim1.flixcart.com/image/309/371/k2krekw0/t-shirt/z/z/h/s-85254-0001-denizen-original-imafhv4u6jtkvnqh.jpeg?q=50,www.flipkart.com/denizen-printed-women-round-neck-black-t-shirt/p/itmfhcyzdnjwqhwh?pid=TSHFHCYZPNVDWE68&amp;lid=LSTTSHFHCYZPNVDWE682455TJ&amp;marketplace=FLIPKART&amp;srno=s_1_9&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHFHCYZPNVDWE68.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,Printed Women Round Neck Black T-Shirt,
Printed Women V Neck Grey T-Shirt,4.0,618,101,https://rukminim1.flixcart.com/image/309/371/jvo4scw0/t-shirt/y/y/y/xs-ffladgry01-flyers-fashion-original-imafgg3jsra4ma6d.jpeg?q=50,www.flipkart.com/flyers-fashion-printed-women-v-neck-grey-t-shirt/p/itmfgg833p2vyevd?pid=TSHFGG43CJZHCJUT&amp;lid=LSTTSHFGG43CJZHCJUTSTJST3&amp;marketplace=FLIPKART&amp;srno=s_1_10&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHFGG43CJZHCJUT.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,Printed Women V Neck Grey T-Shirt,
